pet_id,pet_name,animal,breed,birthyear,reserved,shelter,arrival_date,depart_date,image,adopt_id,createdAt,reservedAt
40,Bridie,chien,américain,1996,false,orthez,13/02/2011,28/04/2019,http://dummyimage.com/186x100.png/ff4444/ffffff,7,2019/07/26,2022/08/11
41,Robbyn,chien,abyssin,2003,false,paris,19/01/2016,24/08/2020,http://dummyimage.com/205x100.png/cc0000/ffffff,20,2019/11/14,2018/05/03
42,Lolly,oiseau,autre,1985,true,mérignac,03/04/2011,,http://dummyimage.com/121x100.png/cc0000/ffffff,0,2018/10/05,2018/06/17
43,Gay,chien,bichon,2007,true,paris,31/08/2002,,http://dummyimage.com/233x100.png/5fa2dd/ffffff,11,2019/06/22,2018/09/06
44,Babb,chat,autre,2008,false,toulouse,17/12/2021,20/07/2018,http://dummyimage.com/238x100.png/dddddd/000000,15,2020/04/17,2018/07/21
45,Elmira,chien,autre,2002,true,bordeaux,10/08/2010,,http://dummyimage.com/102x100.png/ff4444/ffffff,8,2020/07/31,2021/06/09
46,Meriel,chat,berger australien,2001,true,mérignac,20/05/2010,,http://dummyimage.com/116x100.png/ff4444/ffffff,1,2021/07/05,2021/04/03
47,Casey,autre,autre,2008,false,mérignac,18/01/2019,,http://dummyimage.com/149x100.png/cc0000/ffffff,11,2021/01/23,2021/01/20
48,Jobi,chat,,2010,true,pau,12/07/2003,,,8,,
49,Parsifal,chien,siamois,2010,false,pau,20/12/2001,,http://dummyimage.com/233x100.png/ff4444/ffffff,17,2020/10/11,2021/06/17
50,Tadd,chat,berger,2000,true,lyon,17/12/2002,,http://dummyimage.com/134x100.png/dddddd/000000,15,2019/02/06,2020/01/10
51,Levon,chien,labrador,1990,false,pau,13/12/2006,,http://dummyimage.com/174x100.png/ff4444/ffffff,7,2021/05/05,2020/01/19
52,Patsy,chien,européen,1994,false,pau,21/03/2006,01/01/2022,http://dummyimage.com/160x100.png/ff4444/ffffff,10,2021/03/17,2018/05/30
53,Raeann,chat,,1998,false,bordeaux,28/06/1999,,,17,,
54,Dominique,hamster,berger australien,1996,true,toulouse,11/04/2005,,http://dummyimage.com/212x100.png/ff4444/ffffff,11,2021/06/17,2021/01/25
55,Guglielma,oiseau,berger australien,2003,true,mérignac,23/03/2002,19/07/2022,http://dummyimage.com/198x100.png/cc0000/ffffff,10,2019/06/30,2018/09/17
56,Celesta,chat,berger,2008,false,nantes,29/06/2005,,http://dummyimage.com/142x100.png/5fa2dd/ffffff,10,2019/09/20,2019/05/07
57,Aaron,chat,bichon,2000,true,nantes,06/03/2022,10/06/2022,http://dummyimage.com/214x100.png/5fa2dd/ffffff,10,2019/11/01,2022/10/23
58,Kin,chat,abyssin,2009,false,orthez,01/03/1998,,http://dummyimage.com/147x100.png/dddddd/000000,10,2021/01/06,2020/02/20
59,Giselle,lapin,sphynx,2006,true,mérignac,04/05/2000,,http://dummyimage.com/157x100.png/5fa2dd/ffffff,3,2020/08/14,2022/05/03
60,Baryram,chien,américain,2012,true,bordeaux,21/10/2022,25/03/2018,http://dummyimage.com/204x100.png/dddddd/000000,14,2019/01/30,2020/02/10
61,Corene,chien,labrador,2011,true,paris,20/09/2001,,http://dummyimage.com/179x100.png/dddddd/000000,7,2018/08/22,2019/02/09
62,Kristi,hamster,sphynx,2011,true,lyon,03/07/2021,,http://dummyimage.com/249x100.png/5fa2dd/ffffff,20,2020/04/13,2021/04/02
63,Dodie,chat,abyssin,2002,true,paris,09/06/2021,10/02/2018,http://dummyimage.com/139x100.png/5fa2dd/ffffff,1,2022/03/26,2020/12/13
64,Gilberte,chien,berger,2011,true,mérignac,25/09/2004,,http://dummyimage.com/215x100.png/cc0000/ffffff,9,2020/12/25,2020/08/03
65,Mic,hamster,abyssin,2007,false,mérignac,23/04/2019,,http://dummyimage.com/236x100.png/ff4444/ffffff,16,2018/04/03,2021/01/20
66,Christoper,chat,abyssin,1998,true,mérignac,22/07/1998,,http://dummyimage.com/103x100.png/cc0000/ffffff,9,2022/06/14,2018/08/14
67,Neils,chien,européen,2010,true,nantes,19/01/2004,,http://dummyimage.com/178x100.png/cc0000/ffffff,8,2022/01/28,2020/06/14
68,Dunn,chien,abyssin,2012,false,mérignac,24/09/1998,,http://dummyimage.com/119x100.png/5fa2dd/ffffff,8,2022/11/12,2020/11/14
69,Val,chien,berger australien,1984,true,toulouse,21/02/2014,,http://dummyimage.com/189x100.png/5fa2dd/ffffff,14,2019/12/16,2020/12/05
70,Travus,chat,abyssin,2007,true,nantes,14/01/2015,,http://dummyimage.com/128x100.png/ff4444/ffffff,9,2018/04/13,2019/11/13
71,Archaimbaud,lapin,,2006,false,orthez,05/08/2001,,,0,,
72,Zulema,chien,abyssin,2004,false,bordeaux,05/01/2020,,http://dummyimage.com/248x100.png/ff4444/ffffff,9,2022/03/05,2021/02/28
73,Coretta,lapin,sphynx,1962,false,paris,02/12/1998,,http://dummyimage.com/118x100.png/dddddd/000000,15,2020/02/21,2022/09/16
74,Thebault,chat,,2001,false,toulouse,14/11/2008,26/07/2018,,17,,
75,Rhianon,chien,siamois,1998,true,nantes,22/04/2001,,http://dummyimage.com/162x100.png/5fa2dd/ffffff,14,2021/05/03,2022/10/14
76,Kliment,chien,berger australien,1998,false,lyon,14/10/2010,31/05/2019,http://dummyimage.com/244x100.png/ff4444/ffffff,0,2021/08/23,2022/07/16
77,Granthem,chat,abyssin,2002,false,toulouse,07/09/2015,16/03/2018,http://dummyimage.com/125x100.png/cc0000/ffffff,19,2021/06/08,2019/12/02
78,Tallie,chien,européen,2010,false,pau,04/02/2005,,http://dummyimage.com/112x100.png/ff4444/ffffff,2,2018/12/30,2022/06/01
79,Ondrea,chien,autre,1988,true,orthez,09/05/1998,,http://dummyimage.com/187x100.png/ff4444/ffffff,2,2020/02/26,2019/10/05
80,Jewell,hamster,autre,1997,false,paris,26/08/2003,14/06/2019,http://dummyimage.com/146x100.png/5fa2dd/ffffff,17,2022/10/18,2020/09/09
81,Ellerey,chat,abyssin,1990,false,lyon,31/08/2014,20/08/2022,http://dummyimage.com/213x100.png/5fa2dd/ffffff,9,2021/08/12,2020/11/25
82,Dallon,chat,berger australien,2009,false,lyon,18/02/2000,,http://dummyimage.com/108x100.png/ff4444/ffffff,17,2019/05/23,2020/08/17
83,Nissa,chien,labrador,2000,true,nantes,13/07/2004,,http://dummyimage.com/124x100.png/5fa2dd/ffffff,1,2020/02/28,2021/03/09
84,King,chien,siamois,1993,true,mérignac,03/06/2018,24/06/2022,http://dummyimage.com/224x100.png/dddddd/000000,4,2022/06/14,2019/01/29
85,Galvin,hamster,bichon,2008,true,orthez,18/12/2000,22/07/2021,http://dummyimage.com/177x100.png/cc0000/ffffff,5,2018/06/23,2018/10/29
86,Heindrick,chat,bichon,1993,true,toulouse,11/12/2006,,http://dummyimage.com/110x100.png/5fa2dd/ffffff,2,2021/03/05,2021/03/20
87,Alexander,chien,berger australien,2006,false,orthez,28/04/2020,,http://dummyimage.com/114x100.png/dddddd/000000,8,2019/09/19,2021/07/29
88,Vanna,chat,siamois,1985,true,nantes,25/08/2020,,http://dummyimage.com/162x100.png/dddddd/000000,14,2021/08/10,2021/03/09
89,Kenneth,hamster,siamois,1989,true,lyon,25/06/2018,12/03/2018,http://dummyimage.com/234x100.png/dddddd/000000,3,2022/03/10,2022/12/23
90,Vera,hamster,berger,2001,true,orthez,28/08/2017,,http://dummyimage.com/187x100.png/cc0000/ffffff,18,2019/11/22,2021/10/23
91,Leigh,chat,américain,2002,false,paris,10/03/2010,,http://dummyimage.com/120x100.png/ff4444/ffffff,4,2020/07/19,2019/03/06
92,Minnnie,chien,berger australien,1990,true,pau,10/08/2000,,http://dummyimage.com/176x100.png/cc0000/ffffff,11,2021/06/29,2021/01/18
93,Therine,tortue,bichon,2009,false,mérignac,16/01/2012,,http://dummyimage.com/157x100.png/cc0000/ffffff,4,2020/12/08,2018/10/31
94,Sosanna,hamster,,1999,false,lyon,15/07/2016,01/06/2022,,1,,
95,Chauncey,hamster,berger,1989,true,nantes,21/01/2017,,http://dummyimage.com/234x100.png/5fa2dd/ffffff,0,2018/07/01,2022/01/10
96,Wendell,oiseau,berger australien,2006,true,toulouse,23/01/2016,06/11/2020,http://dummyimage.com/128x100.png/5fa2dd/ffffff,16,2022/05/24,2019/08/12
97,Olympia,chat,siamois,2009,false,paris,09/09/2005,,http://dummyimage.com/201x100.png/cc0000/ffffff,14,2018/09/12,2020/12/17
98,Katee,tortue,abyssin,2001,false,toulouse,25/04/1998,,http://dummyimage.com/127x100.png/dddddd/000000,3,2019/01/20,2018/04/08
99,Emma,chien,abyssin,1997,true,bordeaux,20/06/2001,,http://dummyimage.com/190x100.png/cc0000/ffffff,14,2018/11/29,2020/10/09
100,Barbie,lapin,bichon,1994,true,orthez,05/03/2020,,http://dummyimage.com/117x100.png/cc0000/ffffff,15,2018/01/31,2022/02/15
101,Celisse,hamster,européen,1984,true,nantes,13/08/2011,03/01/2019,http://dummyimage.com/188x100.png/ff4444/ffffff,2,2020/05/17,2021/03/15
102,Angelique,chien,,1967,true,nantes,19/11/2019,,,15,,
103,Hasty,chat,autre,1986,false,bordeaux,31/01/2015,30/06/2019,http://dummyimage.com/192x100.png/5fa2dd/ffffff,19,2022/01/11,2021/08/05
104,Mireille,chien,berger,1992,true,nantes,28/07/1998,,http://dummyimage.com/214x100.png/ff4444/ffffff,16,2018/10/06,2018/08/11
105,Artair,chien,sphynx,2004,false,mérignac,14/04/2009,,http://dummyimage.com/137x100.png/5fa2dd/ffffff,1,2021/01/31,2020/01/09
106,Blinni,chien,abyssin,1993,false,paris,12/10/1999,,http://dummyimage.com/175x100.png/5fa2dd/ffffff,11,2018/08/25,2022/02/28
107,Joye,chat,autre,2009,true,paris,14/08/2008,,http://dummyimage.com/141x100.png/dddddd/000000,16,2020/11/02,2019/12/20
108,Berkie,cheval,berger,2010,false,paris,13/01/2007,06/01/2022,http://dummyimage.com/235x100.png/dddddd/000000,10,2022/05/08,2019/11/09
109,Carolyne,chat,berger,2003,true,pau,22/04/2022,,http://dummyimage.com/108x100.png/ff4444/ffffff,9,2019/08/02,2021/12/25
110,Manolo,autre,,2006,true,toulouse,19/06/2008,,,4,,
111,Kanya,chien,berger australien,2001,true,paris,19/12/2020,,http://dummyimage.com/180x100.png/ff4444/ffffff,9,2020/07/30,2018/08/23
112,Dallis,chien,labrador,2003,true,mérignac,28/09/2009,,http://dummyimage.com/240x100.png/ff4444/ffffff,17,2023/01/29,2018/03/10
113,Jory,chat,européen,1997,true,bordeaux,07/12/2005,,http://dummyimage.com/248x100.png/ff4444/ffffff,14,2021/09/09,2020/10/17
114,Callean,autre,américain,1991,true,toulouse,12/05/2006,,http://dummyimage.com/120x100.png/dddddd/000000,10,2018/06/13,2019/07/12
115,Findlay,chien,berger australien,2005,true,pau,08/08/2002,,http://dummyimage.com/211x100.png/cc0000/ffffff,15,2020/12/12,2020/12/26
116,Pauly,hamster,sphynx,1988,true,lyon,11/11/2020,26/11/2019,http://dummyimage.com/205x100.png/cc0000/ffffff,14,2022/07/07,2020/09/30
117,Walker,chien,,2008,false,orthez,16/06/1998,27/09/2020,,19,,
118,Kaylee,lapin,abyssin,2001,false,orthez,12/02/2016,,http://dummyimage.com/246x100.png/ff4444/ffffff,15,2018/06/24,2021/02/17
119,Franny,chien,américain,2009,false,lyon,16/12/2014,19/10/2022,http://dummyimage.com/134x100.png/5fa2dd/ffffff,10,2022/10/07,2021/09/18
120,Lazarus,chien,labrador,1986,true,toulouse,04/10/2012,14/05/2021,http://dummyimage.com/199x100.png/cc0000/ffffff,17,2018/05/26,2022/12/02
121,Anna,chat,américain,2010,false,pau,01/10/2016,,http://dummyimage.com/210x100.png/cc0000/ffffff,5,2018/09/14,2019/02/12
122,Trudi,chat,berger australien,2004,false,orthez,26/07/2018,,http://dummyimage.com/239x100.png/dddddd/000000,5,2019/11/20,2019/08/15
123,Bald,chat,berger australien,2005,true,orthez,13/06/2015,03/08/2021,http://dummyimage.com/166x100.png/dddddd/000000,8,2019/01/27,2022/03/29
124,Pryce,autre,américain,2005,true,bordeaux,10/07/2019,,http://dummyimage.com/182x100.png/dddddd/000000,16,2019/01/19,2022/10/29
125,Leoline,chat,européen,1998,true,pau,24/01/2015,,http://dummyimage.com/114x100.png/cc0000/ffffff,3,2019/04/19,2019/03/31
126,Carolynn,hamster,labrador,1992,true,lyon,23/02/2006,15/03/2020,http://dummyimage.com/238x100.png/dddddd/000000,16,2022/11/10,2020/12/17
127,Frederik,lapin,,1996,false,paris,25/10/2020,,,12,,
128,Bartel,lapin,bichon,1976,true,mérignac,18/02/2007,14/03/2019,http://dummyimage.com/246x100.png/ff4444/ffffff,12,2020/04/25,2022/05/19
129,Meagan,chien,berger australien,1995,true,orthez,15/03/2021,,http://dummyimage.com/232x100.png/cc0000/ffffff,1,2018/08/12,2021/08/13
130,Malanie,hamster,siamois,2011,false,mérignac,15/08/2021,,http://dummyimage.com/234x100.png/ff4444/ffffff,11,2019/05/05,2022/11/19
131,Dionne,lapin,européen,2011,true,orthez,17/01/2019,,http://dummyimage.com/179x100.png/cc0000/ffffff,7,2018/11/26,2018/11/06
132,Shayne,chien,berger australien,2006,false,pau,11/10/2004,15/10/2021,http://dummyimage.com/206x100.png/5fa2dd/ffffff,19,2019/06/25,2020/03/18
133,Cynthy,lapin,abyssin,2012,false,orthez,06/08/2007,02/04/2020,http://dummyimage.com/110x100.png/5fa2dd/ffffff,18,2021/06/01,2022/05/14
134,Robinson,chat,siamois,2005,true,paris,16/12/2021,,http://dummyimage.com/210x100.png/ff4444/ffffff,4,2020/01/31,2020/08/01
135,Nanon,chat,autre,2009,true,orthez,26/01/2006,20/04/2022,http://dummyimage.com/249x100.png/5fa2dd/ffffff,9,2019/05/14,2020/07/09
136,Colas,chat,labrador,2004,true,orthez,26/01/2014,15/08/2021,http://dummyimage.com/148x100.png/5fa2dd/ffffff,15,2022/09/30,2022/01/05
137,Derrek,chien,sphynx,2011,false,nantes,10/06/1999,22/01/2022,http://dummyimage.com/170x100.png/ff4444/ffffff,17,2020/02/25,2020/03/06
138,Walton,cheval,berger,2011,false,toulouse,19/05/2019,,http://dummyimage.com/132x100.png/dddddd/000000,18,2018/07/01,2020/11/02
139,Leann,chat,labrador,2010,true,bordeaux,05/09/2012,,http://dummyimage.com/135x100.png/cc0000/ffffff,18,2022/03/27,2018/03/30
140,Cammy,chat,bichon,1994,false,toulouse,25/05/2017,,http://dummyimage.com/176x100.png/ff4444/ffffff,7,2021/04/01,2018/06/13
141,Lev,chien,berger,2002,true,pau,01/02/2019,27/11/2022,http://dummyimage.com/142x100.png/cc0000/ffffff,2,2020/05/15,2019/04/19
142,Leopold,hamster,européen,1993,false,toulouse,10/03/2008,24/05/2019,http://dummyimage.com/195x100.png/5fa2dd/ffffff,13,2019/02/05,2020/03/04
143,Cello,chien,berger,1994,false,orthez,08/07/2014,,http://dummyimage.com/232x100.png/cc0000/ffffff,18,2020/11/04,2021/10/23
144,Stirling,chien,bichon,2012,true,mérignac,08/02/2001,,http://dummyimage.com/131x100.png/dddddd/000000,8,2019/03/03,2018/04/06
145,Kandy,chat,berger,1996,false,mérignac,02/11/2013,16/02/2021,http://dummyimage.com/130x100.png/ff4444/ffffff,5,2022/04/08,2022/07/11
146,Desmond,chat,autre,1996,false,paris,05/02/2010,,http://dummyimage.com/118x100.png/5fa2dd/ffffff,19,2021/11/13,2020/04/12
147,Ealasaid,chien,européen,2001,true,lyon,27/03/2006,,http://dummyimage.com/122x100.png/cc0000/ffffff,10,2019/12/11,2021/08/28
148,Elroy,chien,américain,2006,false,mérignac,17/02/2012,,http://dummyimage.com/121x100.png/ff4444/ffffff,10,2018/09/12,2020/05/20
149,Thane,lapin,sphynx,2001,false,orthez,10/12/2003,02/05/2022,http://dummyimage.com/108x100.png/ff4444/ffffff,19,2022/02/18,2020/06/10
150,Elisha,chat,sphynx,2000,false,pau,19/09/2002,,http://dummyimage.com/145x100.png/5fa2dd/ffffff,2,2020/09/09,2018/06/12
151,Onofredo,chat,,1995,false,pau,30/09/1999,19/02/2022,,5,,
152,Kiah,chien,européen,2008,true,pau,18/02/2021,,http://dummyimage.com/190x100.png/cc0000/ffffff,12,2022/11/20,2018/05/21
153,Arabela,hamster,bichon,1993,true,pau,29/12/2002,,http://dummyimage.com/175x100.png/cc0000/ffffff,2,2018/10/14,2020/06/19
154,Elyse,chat,européen,2010,false,orthez,28/01/2006,02/06/2019,http://dummyimage.com/225x100.png/cc0000/ffffff,9,2019/06/08,2021/03/28
155,Sanderson,chien,berger,1987,true,orthez,05/11/1998,,http://dummyimage.com/224x100.png/ff4444/ffffff,5,2020/08/01,2019/10/16
156,Perl,chien,européen,1993,false,mérignac,14/10/2022,,http://dummyimage.com/223x100.png/ff4444/ffffff,18,2018/06/12,2018/10/30
157,Hedvig,chat,labrador,1997,true,paris,09/08/2021,,http://dummyimage.com/132x100.png/ff4444/ffffff,18,2021/02/28,2021/09/17
158,Sigfrid,chat,siamois,1909,true,paris,06/05/2015,,http://dummyimage.com/209x100.png/cc0000/ffffff,11,2022/05/11,2020/01/04
159,Yettie,lapin,siamois,2008,false,orthez,29/10/2000,21/04/2021,http://dummyimage.com/134x100.png/dddddd/000000,18,2019/08/26,2019/11/12
160,Livvy,chat,abyssin,1998,true,orthez,16/07/2005,01/11/2021,http://dummyimage.com/116x100.png/5fa2dd/ffffff,3,2020/12/26,2018/08/07
161,Elinor,chat,berger australien,1984,false,paris,19/08/2012,,http://dummyimage.com/109x100.png/cc0000/ffffff,1,2020/01/12,2020/05/31
162,Nedda,lapin,siamois,1996,false,mérignac,11/10/2018,,http://dummyimage.com/212x100.png/ff4444/ffffff,17,2022/10/04,2020/12/31
163,Clayson,hamster,berger australien,1993,true,nantes,25/03/2021,,http://dummyimage.com/218x100.png/dddddd/000000,9,2022/03/11,2019/05/25
164,Zollie,chien,,2003,false,orthez,09/12/2020,,,19,,
165,Charisse,lapin,berger,2003,true,bordeaux,27/04/2020,07/08/2020,http://dummyimage.com/100x100.png/cc0000/ffffff,19,2021/05/16,2018/12/12
166,Aldric,chien,berger australien,1999,false,paris,30/04/2018,,http://dummyimage.com/185x100.png/cc0000/ffffff,14,2022/05/26,2020/08/02
167,Marji,chien,berger,1966,true,lyon,02/10/2010,,http://dummyimage.com/235x100.png/cc0000/ffffff,4,2019/09/13,2021/07/06
168,Angelica,tortue,,1998,false,pau,24/08/2014,06/11/2022,,5,,
169,Kendrick,chien,,1995,true,bordeaux,11/11/2003,,,17,,
170,Chelsae,chat,abyssin,2007,true,nantes,01/06/2000,,http://dummyimage.com/117x100.png/5fa2dd/ffffff,16,2019/04/22,2021/10/28
171,Bronson,chat,européen,1988,false,paris,09/11/2009,10/07/2020,http://dummyimage.com/241x100.png/cc0000/ffffff,20,2021/03/11,2021/07/25
172,Manda,chien,labrador,1999,true,orthez,15/02/2010,23/08/2019,http://dummyimage.com/154x100.png/dddddd/000000,11,2020/07/24,2020/11/10
173,Gaspard,chat,autre,2005,true,paris,26/07/1998,,http://dummyimage.com/174x100.png/dddddd/000000,8,2021/02/19,2021/03/28
174,Addi,chat,américain,1986,true,lyon,14/03/2012,24/01/2023,http://dummyimage.com/188x100.png/5fa2dd/ffffff,13,2021/01/02,2019/04/04
175,Hendrika,chat,siamois,1998,false,lyon,01/08/2001,08/04/2022,http://dummyimage.com/171x100.png/ff4444/ffffff,9,2022/05/29,2022/04/10
176,Fae,hamster,berger australien,2006,true,lyon,14/10/2004,14/02/2022,http://dummyimage.com/131x100.png/ff4444/ffffff,4,2020/09/23,2019/03/25
177,Annabelle,lapin,siamois,1998,true,toulouse,03/01/2022,,http://dummyimage.com/182x100.png/cc0000/ffffff,8,2019/10/12,2022/10/20
178,Fancy,chien,,2000,true,orthez,22/05/2021,,,13,,
179,Rahel,chien,sphynx,2001,true,bordeaux,18/11/2021,,http://dummyimage.com/237x100.png/5fa2dd/ffffff,1,2020/12/04,2019/05/07
180,Kayne,lapin,sphynx,2012,true,bordeaux,26/01/2006,25/07/2022,http://dummyimage.com/194x100.png/dddddd/000000,5,2020/04/03,2020/04/04
181,Marjy,chien,berger,1995,true,nantes,25/06/2003,18/02/2018,http://dummyimage.com/215x100.png/cc0000/ffffff,9,2021/12/12,2019/09/26
182,Danit,chat,européen,1989,false,lyon,17/08/2010,04/05/2020,http://dummyimage.com/144x100.png/5fa2dd/ffffff,16,2020/01/23,2022/04/26
183,De,chat,abyssin,1994,false,nantes,06/09/1999,20/02/2020,http://dummyimage.com/132x100.png/dddddd/000000,4,2022/04/18,2018/10/22
184,Avril,oiseau,berger australien,1992,true,toulouse,28/01/2023,,http://dummyimage.com/115x100.png/5fa2dd/ffffff,18,2021/10/14,2020/04/23
185,Ron,lapin,bichon,2010,true,bordeaux,25/05/2022,,http://dummyimage.com/152x100.png/dddddd/000000,19,2021/08/18,2019/05/24
186,Tedra,chien,abyssin,2007,false,mérignac,19/12/2016,,http://dummyimage.com/224x100.png/ff4444/ffffff,10,2018/04/15,2019/03/26
187,Rozanna,chat,bichon,1994,false,bordeaux,25/03/2019,,http://dummyimage.com/218x100.png/cc0000/ffffff,20,2019/08/13,2018/09/22
188,Eric,chat,labrador,2012,false,nantes,21/01/2002,,http://dummyimage.com/168x100.png/5fa2dd/ffffff,16,2019/02/18,2022/02/08
189,Kin,chien,siamois,2007,false,nantes,07/12/2019,,http://dummyimage.com/126x100.png/dddddd/000000,8,2022/05/19,2020/03/17
190,Nellie,chien,américain,2009,true,orthez,01/01/2023,,http://dummyimage.com/215x100.png/cc0000/ffffff,1,2018/06/26,2020/12/09
191,Mohandis,hamster,siamois,1993,true,pau,10/12/2002,,http://dummyimage.com/142x100.png/5fa2dd/ffffff,0,2020/08/15,2020/04/23
192,Odo,chien,,2005,false,orthez,30/11/1999,17/08/2021,,15,,
193,Carrissa,hamster,bichon,1998,false,paris,19/12/2011,,http://dummyimage.com/204x100.png/5fa2dd/ffffff,11,2018/08/16,2020/02/13
194,Aili,chat,américain,1989,false,pau,21/06/2009,,http://dummyimage.com/239x100.png/cc0000/ffffff,4,2020/10/15,2020/03/12
195,Correna,chien,autre,1996,true,paris,30/06/2018,,http://dummyimage.com/207x100.png/cc0000/ffffff,3,2021/02/20,2021/07/21
